id	status	implementation	v1_name	v2_name	v2_file	note
23	exact	implemented	Num Array Value Range	Num Array Value Range	TagValidationChecks.cpp	
24	exact	implemented	Tag Struct Nesting Depth	Tag Struct Nesting Depth	TagValidationChecks.cpp	
25	exact	implemented	Tag Offset OOB	Tag Offset OOB	TagValidationChecks.cpp	
26	exact	implemented	Named Color2String Validation	Named Color2String Validation	TagValidationChecks.cpp	
27	exact	implemented	MPE Matrix Output Channel	MPE Matrix Output Channel	TagValidationChecks.cpp	
28	exact	implemented	LUT Dimension Validation	LUT Dimension Validation	TagValidationChecks.cpp	
29	exact	implemented	Colorant Table String Validation	Colorant Table String Validation	TagValidationChecks.cpp	
30	exact	implemented	Gamut Boundary Desc Allocation	Gamut Boundary Desc Allocation	TagValidationChecks.cpp	
31	exact	implemented	MPE Channel Count	MPE Channel Count	TagValidationChecks.cpp	
32	exact	implemented	Tag Data Type Confusion	Tag Data Type Confusion	TagValidationChecks.cpp	
33	collision	implemented	mBA/mAB Sub-Element Offset Validation	Embedded Image Detection	RawScanChecks.cpp	same-number collision; V2 embedded-image scan does not match V1 mAB/mBA offset validation
34	collision	implemented	Integer Overflow Sub-Element Bounds	Embedded Text Detection	RawScanChecks.cpp	same-number collision; V2 embedded-text scan does not match V1 integer-overflow bounds check
35	collision	implemented	Suspicious Fill Pattern mBA/mAB Data	Creator Signature Identification	RawScanChecks.cpp	same-number collision; V2 creator signature check does not match V1 suspicious-fill-pattern heuristic
36	collision	implemented	LUT Tag Pair Completeness	Profile Flags Validation	RawScanChecks.cpp	same-number collision; V2 flags validation is closer to V1 H133/H93 family
37	collision	implemented	Calculator Element Complexity	Device Attributes Validation	RawScanChecks.cpp	same-number collision; V2 device attributes validation does not match V1 calculator-complexity heuristic
38	exact	implemented	Curve Degenerate Value Detection	Curve Degenerate Value Detection	RawScanChecks.cpp	
39	exact	implemented	Shared Tag Data Aliasing Detection	Shared Tag Data Aliasing Detection	RawScanChecks.cpp	
40	collision	implemented	Tag Alignment Padding Validation	Reserved Bytes Validation	RawScanChecks.cpp	same-number collision; V2 reserved-bytes check is closer to V1 H111
41	exact	implemented	Version Type Consistency Check	Version Type Consistency Check	RawScanChecks.cpp	
42	exact	implemented	Matrix Singularity Detection	Matrix Singularity Detection	RawScanChecks.cpp	
43	exact	implemented	Spectral BRDF Tag Structural Validation	Spectral BRDF Tag Structural Validation	RawScanChecks.cpp	
44	exact	implemented	Embedded Image Validation	Embedded Image Validation	RawScanChecks.cpp	
45	exact	implemented	Sparse Matrix Bounds Validation	Sparse Matrix Bounds Validation	RawScanChecks.cpp	
46	exact	implemented	TextDescription Unicode Length Validation	TextDescription Unicode Length Validation	RawScanChecks.cpp	
47	exact	implemented	NamedColor2 Size Overflow Detection	NamedColor2 Size Overflow Detection	RawScanChecks.cpp	
48	exact	implemented	CLUT Grid Dimension Product Overflow	CLUT Grid Dimension Product Overflow	RawScanChecks.cpp	
49	exact	implemented	Float s15Fixed16 NaN Inf Detection	Float s15Fixed16 NaN Inf Detection	RawScanChecks.cpp	
50	exact	implemented	Zero-Size Profile Tag Detection	Zero-Size Profile Tag Detection	RawScanChecks.cpp	
51	exact	implemented	LUT IO Channel Count Consistency	LUT IO Channel Count Consistency	RawScanChecks.cpp	
52	exact	implemented	Integer Underflow Tag Size Subtraction	Integer Underflow Tag Size Subtraction	RawScanChecks.cpp	raw mAB/mBA offset-underflow and lut8/lut16 size-validation ported from V1; CFL-065 coverage
53	exact	implemented	Embedded Profile Recursion Detection	Embedded Profile Recursion Detection	RawScanChecks.cpp	
54	exact	implemented	Division-by-Zero Trigger Detection	Division-by-Zero Trigger Detection	RawScanChecks.cpp	
55	exact	implemented	UTF-16 Encoding Validation	UTF-16 Encoding Validation	RawScanChecks.cpp	
56	collision	implemented	Calculator Stack Depth	MediaWhitePoint Validation	DataValidationChecks.cpp	same-number collision; V2 mediaWhitePoint validation is closer to V1 H112
57	collision	implemented	Embedded Profile Recursion Depth	Chromatic Adaptation Validation	DataValidationChecks.cpp	same-number collision; V2 chromatic adaptation validation is closer to V1 H88/H132 family
58	exact	implemented	Sparse Matrix Entry Bounds	Sparse Matrix Entry Bounds	RawScanChecks.cpp	
59	exact	implemented	Spectral Wavelength Range Consistency	Spectral Wavelength Range Consistency	RawScanChecks.cpp	
60	collision	implemented	Dictionary Tag Consistency	LUT Channel Count Validation	DataValidationChecks.cpp	same-number collision; V2 LUT channel count is closer to V1 H51/H164 family
61	exact	implemented	Viewing Conditions Validation	Viewing Conditions Validation	RawScanChecks.cpp	
62	exact	implemented	MLU String Bombs	MLU String Bombs	RawScanChecks.cpp	
63	exact	implemented	Curve LUT Channel Mismatch	Curve LUT Channel Mismatch	RawScanChecks.cpp	
64	exact	implemented	Named Color2Device Coord Overflow	Named Color2Device Coord Overflow	RawScanChecks.cpp	
65	exact	implemented	Chromaticity Plausibility	Chromaticity Plausibility	RawScanChecks.cpp	
66	exact	implemented	Num Array NaN Inf Scan	Num Array NaN Inf Scan	RawScanChecks.cpp	
67	exact	implemented	Response Curve Set Bounds	Response Curve Set Bounds	RawScanChecks.cpp	
68	exact	implemented	GamutBoundaryDesc Triangle Vertex Overflow	GamutBoundaryDesc Triangle Vertex Overflow	RawScanChecks.cpp	
69	exact	implemented	Profile ID MD5 Consistency	Profile ID MD5 Consistency	RawScanChecks.cpp	
70	exact	implemented	Measurement Tag Validation	Measurement Tag Validation	DataValidationChecks.cpp	
71	exact	implemented	Colorant Table Null Termination	Colorant Table Null Termination	DataValidationChecks.cpp	
72	exact	implemented	Sparse Matrix Array Bounds	Sparse Matrix Array Bounds	DataValidationChecks.cpp	
73	exact	implemented	Tag Array Nesting Depth	Tag Array Nesting Depth	DataValidationChecks.cpp	
74	exact	implemented	Tag Type Signature Consistency	Tag Type Signature Consistency	DataValidationChecks.cpp	
75	exact	implemented	Tags Very Small Size	Tags Very Small Size	DataValidationChecks.cpp	
76	exact	implemented	CIccTagData Type Flag	CIccTagData Type Flag	DataValidationChecks.cpp	
77	exact	implemented	MPE Calculator Sub Element Count	MPE Calculator Sub Element Count	DataValidationChecks.cpp	
78	exact	implemented	CLUT Grid Dimension Overflow	CLUT Grid Dimension Overflow	DataValidationChecks.cpp	
79	exact	implemented	Load Tag Allocation Overflow	Load Tag Allocation Overflow	DataValidationChecks.cpp	
80	exact	implemented	Shared Tag Pointer UAF	Shared Tag Pointer UAF	DataValidationChecks.cpp	
81	exact	implemented	MPE Calculator IO Consistency	MPE Calculator IO Consistency	DataValidationChecks.cpp	
82	exact	implemented	IO Read Size Overflow	IO Read Size Overflow	DataValidationChecks.cpp	
83	exact	implemented	Float Numeric Array Size	Float Numeric Array Size	DataValidationChecks.cpp	
84	exact	implemented	LUT3D Transform Consistency	LUT3D Transform Consistency	DataValidationChecks.cpp	
85	exact	implemented	MPE Buffer Overlap	MPE Buffer Overlap	DataValidationChecks.cpp	
86	exact	implemented	Localized Unicode Bounds	Localized Unicode Bounds	DataValidationChecks.cpp	
87	exact	implemented	TRC Curve Anomaly	TRC Curve Anomaly	DataValidationChecks.cpp	
88	exact	implemented	Chromatic Adaptation Matrix	Chromatic Adaptation Matrix	DataValidationChecks.cpp	
89	exact	implemented	Profile Sequence Description	Profile Sequence Description	DataValidationChecks.cpp	
90	exact	implemented	Preview Tag Channel Consistency	Preview Tag Channel Consistency	DataValidationChecks.cpp	
91	exact	implemented	Colorant Order Validation	Colorant Order Validation	DataValidationChecks.cpp	
92	exact	implemented	Spectral Viewing Conditions	Spectral Viewing Conditions	DataValidationChecks.cpp	
93	exact	implemented	Embedded Profile Flag	Embedded Profile Flag	DataValidationChecks.cpp	
94	exact	implemented	Matrix TRC Colorant Consistency	Matrix TRC Colorant Consistency	DataValidationChecks.cpp	
95	exact	implemented	Sparse Matrix Array Bounds Validation	Sparse Matrix Array Bounds Validation	DataValidationChecks.cpp	
96	exact	implemented	Embedded Profile Validation	Embedded Profile Validation	DataValidationChecks.cpp	
97	exact	implemented	Profile Sequence Id Validation	Profile Sequence Id Validation	DataValidationChecks.cpp	
98	exact	implemented	Spectral MPE Element Validation	Spectral MPE Element Validation	DataValidationChecks.cpp	
99	exact	implemented	Embedded Image Tag Validation	Embedded Image Tag Validation	DataValidationChecks.cpp	
100	exact	implemented	Profile Sequence Desc Validation	Profile Sequence Desc Validation	DataValidationChecks.cpp	
101	exact	implemented	MPE Sub Element Channel Continuity	MPE Sub Element Channel Continuity	DataValidationChecks.cpp	
102	exact	implemented	Tag Size Profile Size Cross Check	Tag Size Profile Size Cross Check	DataValidationChecks.cpp	
103	collision	implemented	PCC	Profile ID Validation	ComplianceChecks.cpp	same-number collision; V2 profile-ID validation is closer to V1 H69/H131 family
104	collision	implemented	PRMG	CMM Type Validation	ComplianceChecks.cpp	same-number collision; V2 CMM-type validation is closer to V1 H5 family
105	collision	implemented	Matrix TRC	ColorSpace/PCS Consistency	ComplianceChecks.cpp	same-number collision; V2 colorspace/PCS consistency is closer to V1 H4/H107/H164 family
106	exact	implemented	Env Var	Env Var	ComplianceChecks.cpp	
107	exact	implemented	Channel Cross Check	Channel Cross Check	ComplianceChecks.cpp	
108	collision	implemented	Private Tags	Encoding Validation	ComplianceChecks.cpp	same-number collision; V2 encoding validation does not match V1 private-tags heuristic
109	exact	implemented	Shellcode Patterns	Shellcode Patterns	ComplianceChecks.cpp	
110	exact	implemented	Class Tag Validation	Class Tag Validation	ComplianceChecks.cpp	
111	rename	implemented	Reserved Bytes	Reserved Bytes Validation	ComplianceChecks.cpp	same check; cosmetic rename
112	collision	implemented	Wtpt Validation	D50 Illuminant Precision	ComplianceChecks.cpp	same-number collision; V2 D50 precision overlaps V1 H8/H112 concerns
113	exact	implemented	Round Trip Fidelity	Round Trip Fidelity	ComplianceChecks.cpp	
114	exact	implemented	Curve Smoothness	Curve Smoothness	ComplianceChecks.cpp	
115	exact	implemented	Characterization Data	Characterization Data	ComplianceChecks.cpp	
116	exact	implemented	Cprt Desc Encoding	Cprt Desc Encoding	ComplianceChecks.cpp	
117	exact	implemented	Tag Type Allowed	Tag Type Allowed	ComplianceChecks.cpp	
118	exact	implemented	Calc Cost Estimate	Calc Cost Estimate	ComplianceChecks.cpp	
119	exact	implemented	Round Trip Delta E	Round Trip Delta E	ComplianceChecks.cpp	
120	exact	implemented	Curve Invertibility	Curve Invertibility	ComplianceChecks.cpp	
121	collision	implemented	Char Data Round Trip	Profile MD5 Verification	IntegrityChecks.cpp	same-number collision; V2 profile-MD5 verification is closer to V1 H69/H131 family
122	collision	implemented	Tag Encoding	Tag Data Padding Check	IntegrityChecks.cpp	same-number collision; V2 tag-padding check is closer to V1 H40/H134 family
123	exact	implemented	Non Required Tags	Non Required Tags	IntegrityChecks.cpp	
124	exact	implemented	Version Tags	Version Tags	IntegrityChecks.cpp	
125	exact	implemented	Transform Smoothness	Transform Smoothness	IntegrityChecks.cpp	
126	exact	implemented	Private Tag Malware	Private Tag Malware	IntegrityChecks.cpp	
127	exact	implemented	Private Tag Registry	Private Tag Registry	IntegrityChecks.cpp	
128	exact	implemented	Version BCD	Version BCD	IntegrityChecks.cpp	raw version-byte BCD validation ported from V1
129	exact	implemented	PCS Illuminant D50	PCS Illuminant D50	IntegrityChecks.cpp	raw D50 exactness/tolerance validation ported from V1
130	exact	implemented	Tag Alignment	Tag Alignment	IntegrityChecks.cpp	raw 4-byte tag offset alignment validation ported from V1
131	exact	implemented	Profile Id MD5	Profile Id MD5	IntegrityChecks.cpp	raw profile-ID MD5 recomputation/compare ported from V1
132	exact	implemented	Chad Determinant	Chad Determinant	IntegrityChecks.cpp	raw chad determinant/extreme-value validation ported from V1
133	exact	implemented	Flags Reserved Bits	Flags Reserved Bits	IntegrityChecks.cpp	raw profile-flags reserved-bit validation ported from V1
134	exact	implemented	Tag Type Reserved Bytes	Tag Type Reserved Bytes	IntegrityChecks.cpp	raw tag-type reserved-byte validation ported from V1
135	exact	implemented	Duplicate Tag Signatures	Duplicate Tag Signatures	IntegrityChecks.cpp	raw duplicate tag-signature validation ported from V1
136	collision	implemented	Response Curve Measurement Count	Profile Complexity Estimation	IntegrityChecks.cpp	same-number collision; V2 complexity estimation is closer to V1 H118 family
137	collision	implemented	High Dimensional Grid Complexity	GBD nTriangles Overflow	IntegrityChecks.cpp	same-number collision; V2 GBD overflow check is closer to V1 H68
138	collision	implemented	Calculator Branching Depth	Total Allocation Budget	IntegrityChecks.cpp	same-number collision; V2 allocation-budget check has no clear V1 heuristic peer
139	exact	implemented	TIFF Strip Geometry Validation	TIFF Strip Geometry Validation	ImageChecks.cpp	
140	rename	implemented	TIFF Dimension Sample Validation	TIFF Dimension Validation	ImageChecks.cpp	same check; cosmetic rename
141	rename	implemented	TIFF IFD Offset Bounds Validation	TIFF IFD Offset Bounds	ImageChecks.cpp	same check; cosmetic rename
142	exact	implemented	XML Serialization Safety	XML Serialization Safety	XmlSafetyChecks.cpp	
143	exact	implemented	XML Array Bounds Precheck	XML Array Bounds Precheck	XmlSafetyChecks.cpp	
144	exact	implemented	XML String Termination Precheck	XML String Termination Precheck	XmlSafetyChecks.cpp	
145	exact	implemented	XML Curve Type Consistency	XML Curve Type Consistency	XmlSafetyChecks.cpp	
146	exact	implemented	Stack Buffer Overflow GetValues	Stack Buffer Overflow GetValues	DataValidationChecks.cpp	
147	exact	implemented	Null Pointer After Tag Read	Null Pointer After Tag Read	DataValidationChecks.cpp	
148	exact	implemented	Memory Copy Bounds Overlap	Memory Copy Bounds Overlap	DataValidationChecks.cpp	
149	rename	implemented	TIFF IFD Chain Cycle Detection	TIFF IFD Cycle Detection	ImageChecks.cpp	same check; cosmetic rename
150	exact	implemented	TIFF Tile Geometry Validation	TIFF Tile Geometry Validation	ImageChecks.cpp	
151	rename	implemented	Calculator Operator Enum Validation	Calculator Element Enum Validation	DataValidationChecks.cpp	same check; cosmetic rename
152	exact	implemented	Curve Element OOM Size Validation	Curve Element OOM Size Validation	DataValidationChecks.cpp	
153	rename	implemented	Sampled Curve NaN-to-Unsigned Cast	Sampled Curve NaN Cast Detection	RawScanChecks.cpp	same check; cosmetic rename
154	exact	implemented	Uncontrolled Tag Allocation Size	Uncontrolled Tag Allocation Size	CodeQLPatternChecks.cpp	
155	exact	implemented	Integer Overflow in Tag Dimensions	Integer Overflow in Tag Dimensions	CodeQLPatternChecks.cpp	
156	exact	implemented	Allocation Failure Path Profiles	Allocation Failure Path Profiles	CodeQLPatternChecks.cpp	
157	exact	implemented	Alloc-Dealloc Mismatch Tag Patterns	Alloc-Dealloc Mismatch Tag Patterns	CodeQLPatternChecks.cpp	
158	exact	implemented	Enum Range Violation Detection	Enum Range Violation Detection	CodeQLPatternChecks.cpp	
159	exact	implemented	UAF Tag Ownership Chain Detection	UAF Tag Ownership Chain Detection	CodeQLPatternChecks.cpp	
160	exact	implemented	Format String Injection in Text Tags	Format String Injection in Text Tags	CodeQLPatternChecks.cpp	
161	exact	implemented	Stack Address Escape Deep Apply Chains	Stack Address Escape Deep Apply Chains	CodeQLPatternChecks.cpp	
162	rename	implemented	Partial Tag Data Overlap Detection	Partial Tag Data Overlap	ExploitGapChecks.cpp	same check; cosmetic rename
163	rename	implemented	Executable Signature Scan In Tag Data	Executable Signature Scan	ExploitGapChecks.cpp	same check; cosmetic rename
164	rename	implemented	Raw LUT Channel vs ColorSpace/PCS Cross-Check	LUT Channel Cross-Check	ExploitGapChecks.cpp	same check; cosmetic rename
165	exact	implemented	LUT Data Sufficiency Validation	LUT Data Sufficiency Validation	ExploitGapChecks.cpp	
166	rename	implemented	Division-by-Zero in CAM/Array/MPE	Division-by-Zero Guards	ExploitGapChecks.cpp	same check; cosmetic rename
167	exact	implemented	Null MPE CLUT/Curve Application Guard	Null MPE CLUT/Curve Application Guard	ExploitGapChecks.cpp	
168	exact	implemented	Unchecked Allocation Size Overflow	Unchecked Allocation Size Overflow	ExploitGapChecks.cpp	
169	exact	implemented	Dictionary Tag Element Bounds	Dictionary Tag Element Bounds	ExploitGapChecks.cpp	
170	exact	implemented	Copy Constructor UB via Null PCS	Copy Constructor UB via Null PCS	ExploitGapChecks.cpp	
171	rename	implemented	Curve Param Count vs FuncType Validation	Curve Param Count Validation	ExploitGapChecks.cpp	same check; cosmetic rename
172	exact	implemented	LUT Matrix Coefficient Validation	LUT Matrix Coefficient Validation	DataValidationChecks.cpp	
173	exact	implemented	Signature Conversion Shift Overflow	Signature Conversion Shift Overflow	CodeQLPatternChecks.cpp	
174	exact	implemented	Half-Float Conversion Unsigned Underflow	Half-Float Conversion Unsigned Underflow	CodeQLPatternChecks.cpp	
175	exact	implemented	Device Spectral Colour Space Range Requirement	Device Spectral Colour Space Range Requirement	CfV5Checks.cpp	
176	exact	implemented	deviceSpectralRangeTag Validation	deviceSpectralRangeTag Validation	CfV5Checks.cpp	
177	exact	implemented	devicePccTag Structure Validation	devicePccTag Structure Validation	CfV5Checks.cpp	
178	exact	implemented	spectralRangeType Encoding Validation	spectralRangeType Encoding Validation	CfV5Checks.cpp	
179	rename	implemented	AddXform Create NULL Guard Detection	AddXform Create NULL Guard	ExploitGapChecks.cpp	cosmetic: V2 drops Detection suffix
180	exact	implemented	XML Round-Trip Fidelity	XML Round-Trip Fidelity	XmlSafetyChecks.cpp	
